feature,mean_abs_shap
DAR,0.4608102
TOT_ASST,0.18924128
CPYT_FOOD_AMT_RT_was_missing,0.17095457
YOY_TOT_ASST_RTC,0.16910592
R3M_ITRT_ENT_BROADCAST,0.14101055
R6M_MART_AMT,0.123802096
JB_TP_420,0.11762703
PYE_AL012G019,0.11108731
PET_GD_woe,0.09222925
R12M_MED_AMT,0.08829002
AGE,0.083466366
grade_unavailable,0.074036695
OWN_HOUS_CNT,0.07129046
CPYT_CONV_AMT_RT_was_missing,0.07113798
YOY_R3M_HOUSEHOLD_AMT_RTC,0.06983525
PYE_AL012G005,0.06620328
FST_HOUS_BUY_ELPS,0.064636014
QOQ_TOT_ASST_RTC,0.0636536
B1Y_MOB_OS,0.059075568
FST_CAR_ELPS,0.057620853
HIGHEND_CD2,0.04822352
YOY_R3M_FOOD_AMT_RTC,0.045321964
YOY_R3M_MART_AMT_RTC,0.044248093
OWN_LIV_YN,0.043305267
YOY_R3M_SSM_AMT_RTC,0.04024495
JB_TP_410,0.038721114
FAM_OWN_HOUS_CNT,0.03599685
FST_CAR_ELPS_was_missing,0.03475086
PYE_AL012G011,0.03273133
PYE_CAR_OWN,0.032504503
JB_TP_510,0.031237688
QOQ_R3M_MART_AMT_RTC,0.02862326
FST_HOUS_BUY_ELPS_was_missing,0.028188948
YOY_R3M_M_CONV_AMT_RTC,0.026556382
APP_GD_woe,0.026442708
HOME_ADM_11,0.023414703
FAM_OWN_LIV_YN,0.022614945
HOME_ADM_48,0.021986783
YOY_R3M_CONV_AMT_RTC,0.021530876
GOLF_GD_woe,0.019299248
R3M_ITRT_SHOP_JIKGU,0.015320452
SHP_CNT,0.014842926
YOY_R3M_ITRT_COMM_VOIP_CS,0.014729454
JB_TP_440,0.012013172
RET_SIL,0.010230554
HOME_ADM_31,0.008490052
TRAVEL_GD_woe,0.008483387
R6M_M_MART_AMT,0.008402807
HOME_ADM_41,0.008179187
HOME_ADM_44,0.00754118
HOME_ADM_30,0.007351712
HOME_ADM_27,0.0063442714
HOME_ADM_50,0.005440395
R3M_ITRT_FIN_INSUR,0.004934642
HOME_ADM_47,0.0048449175
R3M_ITRT_ENT_WEBTOON,0.00452808
HOME_ADM_29,0.0040851957
JB_TP_910,0.0034966615
HOME_ADM_28,0.0033157847
HOME_ADM_26,0.0026299437
HOME_ADM_42,0.002222058
HOME_ADM_45,0.0021437486
HOME_ADM_43,0.002023965
HOME_ADM_46,0.0015974175
DAR_was_missing,0.0012107021
JB_TP_520,0.0
HOME_ADM_36,0.0
